Virginia Department of Education,,,,,,,,,,,,,,,,,,,,,
"2015-2016 Student Membership by School (Grade, Ethnicity, & Gender)",,,,,,,,,,,,,,,,,,,,,
(11/18/2015),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Division No.,Division Name,School No.,School Name,Grade,Hispanic/ of any Race Male,Hispanic/ of any Race Female,"American Indian/Alaska Native 
Male","American Indian/Alaska Native 
Female",Asian Male,Asian Female,Black or African American Male,Black or African American Female,"Native Hawaiian/
Pacific Islander 
Male","Native Hawaiian/
Pacific Islander Female","White
Male",White Female,"Two or more races  (Non-Hispanic)
Male","Two or more races (Non-Hispanic)
Female","Total
Full-time Students",Part-time Students,"Total 
Full-time & Part-time Students"
1,ACCOMACK CO PBLC SCHS,590,PUNGOTEAGUE ELEM,2,8,8,0,0,0,0,23,22,0,0,6,6,0,0,73,0,73
1,ACCOMACK CO PBLC SCHS,590,PUNGOTEAGUE ELEM,3,8,6,0,0,0,0,21,25,0,1,7,10,0,0,78,0,78
1,ACCOMACK CO PBLC SCHS,590,PUNGOTEAGUE ELEM,4,5,10,0,0,0,0,22,14,0,0,13,6,1,0,71,0,71
1,ACCOMACK CO PBLC SCHS,590,PUNGOTEAGUE ELEM,5,10,2,0,0,1,0,27,21,0,0,9,11,0,2,83,0,83
1,ACCOMACK CO PBLC SCHS,590,PUNGOTEAGUE ELEM,KG,7,6,0,0,0,0,22,21,0,0,8,4,2,0,70,0,70
1,ACCOMACK CO PBLC SCHS,590,PUNGOTEAGUE ELEM,PK,4,3,0,0,0,0,7,7,0,0,6,4,1,0,32,0,32
1,ACCOMACK CO PBLC SCHS,530,TANGIER COMBINED,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,4,0,4
1,ACCOMACK CO PBLC SCHS,530,TANGIER COMBINED,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,3,0,3
1,ACCOMACK CO PBLC SCHS,530,TANGIER COMBINED,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,2
1,ACCOMACK CO PBLC SCHS,530,TANGIER COMBINED,4,0,0,0,0,0,0,0,0,0,0,3,3,0,0,6,0,6
1,ACCOMACK CO PBLC SCHS,530,TANGIER COMBINED,5,0,0,0,0,0,0,0,0,0,0,1,4,0,0,5,0,5
1,ACCOMACK CO PBLC SCHS,530,TANGIER COMBINED,6,0,0,0,0,0,0,0,0,0,0,7,1,0,0,8,0,8
1,ACCOMACK CO PBLC SCHS,530,TANGIER COMBINED,7,0,0,0,0,0,0,0,0,0,0,5,2,0,0,7,0,7
1,ACCOMACK CO PBLC SCHS,530,TANGIER COMBINED,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
1,ACCOMACK CO PBLC SCHS,530,TANGIER COMBINED,9,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,4
1,ACCOMACK CO PBLC SCHS,530,TANGIER COMBINED,10,0,0,0,0,0,0,0,0,0,0,3,3,0,0,6,0,6
1,ACCOMACK CO PBLC SCHS,530,TANGIER COMBINED,11,0,0,0,0,0,0,0,0,0,0,4,4,0,0,8,0,8
